stimulus_id,ground_truth_tag,model,condition,epistemic_evidence,stem_term,source
S001,UNCERTAIN,gpt-4o,1A,might,CD11a,CoNLL-2010
S001,UNCERTAIN,claude-3.5-sonnet,1A,might,CD11a,CoNLL-2010
S001,UNCERTAIN,gemini-1.5-pro,1A,might,CD11a,CoNLL-2010
S001,UNCERTAIN,gpt-4o,1B,might,CD11a,CoNLL-2010
S001,UNCERTAIN,claude-3.5-sonnet,1B,might,CD11a,CoNLL-2010
S001,UNCERTAIN,gemini-1.5-pro,1B,might,CD11a,CoNLL-2010
S001,UNCERTAIN,gpt-4o,1C,might,CD11a,CoNLL-2010
S001,UNCERTAIN,claude-3.5-sonnet,1C,might,CD11a,CoNLL-2010
S001,UNCERTAIN,gemini-1.5-pro,1C,might,CD11a,CoNLL-2010
S001,UNCERTAIN,gpt-4o,2A,might,CD11a,CoNLL-2010
S001,UNCERTAIN,claude-3.5-sonnet,2A,might,CD11a,CoNLL-2010
S001,UNCERTAIN,gemini-1.5-pro,2A,might,CD11a,CoNLL-2010
S001,UNCERTAIN,gpt-4o,2B,might,CD11a,CoNLL-2010
S001,UNCERTAIN,claude-3.5-sonnet,2B,might,CD11a,CoNLL-2010
S001,UNCERTAIN,gemini-1.5-pro,2B,might,CD11a,CoNLL-2010
S001,UNCERTAIN,gpt-4o,3A,might,CD11a,CoNLL-2010
S001,UNCERTAIN,claude-3.5-sonnet,3A,might,CD11a,CoNLL-2010
S001,UNCERTAIN,gemini-1.5-pro,3A,might,CD11a,CoNLL-2010
S001,UNCERTAIN,gpt-4o,3B,might,CD11a,CoNLL-2010
S001,UNCERTAIN,claude-3.5-sonnet,3B,might,CD11a,CoNLL-2010
S001,UNCERTAIN,gemini-1.5-pro,3B,might,CD11a,CoNLL-2010
S001,UNCERTAIN,gpt-4o,3C,might,CD11a,CoNLL-2010
S001,UNCERTAIN,claude-3.5-sonnet,3C,might,CD11a,CoNLL-2010
S001,UNCERTAIN,gemini-1.5-pro,3C,might,CD11a,CoNLL-2010
S002,UNCERTAIN,gpt-4o,1A,might,ROIs,CoNLL-2010
S002,UNCERTAIN,claude-3.5-sonnet,1A,might,ROIs,CoNLL-2010
S002,UNCERTAIN,gemini-1.5-pro,1A,might,ROIs,CoNLL-2010
S002,UNCERTAIN,gpt-4o,1B,might,ROIs,CoNLL-2010
S002,UNCERTAIN,claude-3.5-sonnet,1B,might,ROIs,CoNLL-2010
S002,UNCERTAIN,gemini-1.5-pro,1B,might,ROIs,CoNLL-2010
S002,UNCERTAIN,gpt-4o,1C,might,ROIs,CoNLL-2010
S002,UNCERTAIN,claude-3.5-sonnet,1C,might,ROIs,CoNLL-2010
S002,UNCERTAIN,gemini-1.5-pro,1C,might,ROIs,CoNLL-2010
S002,UNCERTAIN,gpt-4o,2A,might,ROIs,CoNLL-2010
S002,UNCERTAIN,claude-3.5-sonnet,2A,might,ROIs,CoNLL-2010
S002,UNCERTAIN,gemini-1.5-pro,2A,might,ROIs,CoNLL-2010
S002,UNCERTAIN,gpt-4o,2B,might,ROIs,CoNLL-2010
S002,UNCERTAIN,claude-3.5-sonnet,2B,might,ROIs,CoNLL-2010
S002,UNCERTAIN,gemini-1.5-pro,2B,might,ROIs,CoNLL-2010
S002,UNCERTAIN,gpt-4o,3A,might,ROIs,CoNLL-2010
S002,UNCERTAIN,claude-3.5-sonnet,3A,might,ROIs,CoNLL-2010
S002,UNCERTAIN,gemini-1.5-pro,3A,might,ROIs,CoNLL-2010
S002,UNCERTAIN,gpt-4o,3B,might,ROIs,CoNLL-2010
S002,UNCERTAIN,claude-3.5-sonnet,3B,might,ROIs,CoNLL-2010
S002,UNCERTAIN,gemini-1.5-pro,3B,might,ROIs,CoNLL-2010
S002,UNCERTAIN,gpt-4o,3C,might,ROIs,CoNLL-2010
S002,UNCERTAIN,claude-3.5-sonnet,3C,might,ROIs,CoNLL-2010
S002,UNCERTAIN,gemini-1.5-pro,3C,might,ROIs,CoNLL-2010
S003,UNCERTAIN,gpt-4o,1A,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,claude-3.5-sonnet,1A,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,gemini-1.5-pro,1A,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,gpt-4o,1B,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,claude-3.5-sonnet,1B,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,gemini-1.5-pro,1B,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,gpt-4o,1C,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,claude-3.5-sonnet,1C,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,gemini-1.5-pro,1C,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,gpt-4o,2A,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,claude-3.5-sonnet,2A,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,gemini-1.5-pro,2A,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,gpt-4o,2B,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,claude-3.5-sonnet,2B,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,gemini-1.5-pro,2B,"appears, could",GH ,CoNLL-2010
S003,UNCERTAIN,gpt-4o,3A,"appears, could",GH ,CoNLL-2010
