stimulus_id,source,doc_id,doc_id_type,text,epistemic_tag,epistemic_evidence,stem_term,token_count
S001,CoNLL-2010,97113352,PMID,"Therefore, we compared the nucleotide sequences of the CD11a, CD11b, and CD11c gene promoters to identify common elements that might contribute to inducible expression.",UNCERTAIN,might,CD11a,24
S002,CoNLL-2010,10022882,PMID,"However, the sources for ROIs in various cell types are yet to be determined and might include 5-lipoxygenase (5-LOX) and NADPH oxidase.",UNCERTAIN,might,ROIs,22
S003,CoNLL-2010,9013974,PMID,"The effect of GH appears to occur in an autocrine fashion, since the inhibitory effect on TNF-alpha secretion by constitutive GH production could be abolished in the presence of anti-hGH mAb.",UNCERTAIN,"appears, could",GH ,31
S004,CoNLL-2010,9680181,PMID,Data are also presented to suggest that the redox regulation in NF-kappaB activation may be relevant to immune-related diseases and to aging.,UNCERTAIN,"suggest, may",NF-,22
S005,CoNLL-2010,8164652,PMID,"Again, in vitro supershift studies indicate that the presence of p50, p52, p65, and cRel correlates with positive function whereas the presence of only p50 and p52 correlates with negative function.",UNCERTAIN,indicate that,supershift,31
S006,CoNLL-2010,9428796,PMID,We hypothesize that interference in DNA-binding activities of GATA-1 and CACCC-binding proteins is the mechanism by which the ER inhibits regulation of these genes.,UNCERTAIN,hypothesize,GATA-1,24
S007,CoNLL-2010,7579328,PMID,The cell type-specific regulation of the CD34 promoter by MZF-1 suggests the presence of tissue-specific regulators/adapters or differential MZF-1 modifications that determine MZF-1 transcriptional regulatory function.,UNCERTAIN,"suggests, or",MZF-1,26
S008,CoNLL-2010,91173312,PMID,Therefore the rel-related 65-kD protein may represent the p65 subunit of the active NF-kappa B transcription factor complex.,UNCERTAIN,may,NF-,18
S009,CoNLL-2010,93211996,PMID,We propose a model in which NF-kappa B and I kappa B-alpha mutually regulate each other in a cycle:,UNCERTAIN,propose,NF-,19
S010,CoNLL-2010,9808178,PMID,"Qualitatively different effects were observed for the IL-1-induced activation of stress-activated protein (SAP) kinases: permanent overexpression of IRAK did not affect the dose dependence but prolonged the kinetics of IL-1-induced activation of SAP kinases, suggesting that this signaling branch may be regulated by distinct mechanisms.",UNCERTAIN,"suggesting, may",IL-1,45
S011,CoNLL-2010,9190901,PMID,"Thus we proposed that ETS1, which is expressed constitutively in Jurkat cells, may act in concert with PMA/ionomycin inducible factors.",UNCERTAIN,"proposed, may",ETS1,20
S012,CoNLL-2010,93275333,PMID,Interaction between protein kinase C ( PKC ) - and glucocorticoid receptor ( GR ) -mediated signaling is suggested by the ability of the PKC activating phorbol ester 12-O-tetradecanoylphorbol-13-acetate (TPA) to inhibit GR-dependent transcription of the mouse mammary tumor virus (MMTV) long terminal repeat (LTR).,UNCERTAIN,suggested,PKC,45
S013,CoNLL-2010,8524232,PMID,"The evolutionarily conserved N-terminal half of IBR/F harbors the DNA-binding/dimerization domain (outer limits, 127 to 283), one or several casein kinase II sites (37 to 67), and a bipartite nuclear localization signal (89 to 106) which appears to be necessary for nuclear targeting.",UNCERTAIN,appears,IBR,43
S014,CoNLL-2010,8207793,PMID,Analysis of mRNA suggested that Tat exerts its effect on IL-2 primarily at the transcriptional level.,UNCERTAIN,suggested,IL-2,16
S015,CoNLL-2010,10202034,PMID,"In the present study we investigated the possible involvement of the mitogen-activated protein kinase family members extracellular-regulated kinase 1/2 (ERK1/2) and c-Jun N-terminal kinase (JNK) in mediating IL-6 gene expression in human monocytes, in particular their role in enhancing NF-kappa B activity.",UNCERTAIN,possible,IL-6,42
S016,CoNLL-2010,8978306,PMID,"In addition to its well-recognized adhesive role, CD15 may function as an important signaling molecule capable of initiating proinflammatory events in monocytes that come into contact with activated endothelium.",UNCERTAIN,may,CD15,29
S017,CoNLL-2010,9101089,PMID,The parallel induction of I kappa B alpha synthesis may allow for the continuous presence of a cytoplasmic reservoir of p50/RelA(p65) complexes that are readily available for inducer-mediated stimulation.,UNCERTAIN,may,RelA,29
S018,CoNLL-2010,9271352,PMID,Our results indicate that CCK-8 exerts a trophic effect in Jurkat T cells through stimulation of CCK(B) receptors by modulation of expression of AP-1-regulated genes.,UNCERTAIN,indicate that,CCK-8,25
S019,CoNLL-2010,9233623,PMID,"As the expression level of the RP1 gene in activated T cells and a spectrum of tumor-derived cell lines correlates with the proliferative status of the cells, members of the EB1-like gene family may not only be involved in the tumorigenesis of colorectal cancers but may also play a role in the proliferative control of normal cells.",UNCERTAIN,"may, may",RP1,57
S020,CoNLL-2010,91351285,PMID,"A transcription factor, NF-AT, which is essential for early T-cell gene activation, seems to be a specific target of cyclosporin A and FK506 action because transcription directed by this protein is blocked in T cells treated with these drugs, with little or no effect on other transcription factors such as AP-1 and NF-kappa B.",UNCERTAIN,"seems, or",NF-AT,54
S021,CoNLL-2010,92309248,PMID,"To detect the origin of the cell hybridized with a c-myc probe, a combined immunochemistry in situ hybridization histochemistry technique was used.",ASSERTIVE,N/A (no hedge cues),hybridized,22
S022,CoNLL-2010,8617207,PMID,GATA transcription factors associate with a novel class of nuclear bodies in erythroblasts and megakaryocytes.,ASSERTIVE,N/A (no hedge cues),GATA ,15
S023,CoNLL-2010,97047769,PMID,Oligonucleotide primers based on the murine sequence were used to construct a quantitative reverse transcription-PCR assay for gene expression.,ASSERTIVE,N/A (no hedge cues),PCR ,19
S024,CoNLL-2010,93252936,PMID,The type I interleukin-1 receptor (IL-1R) is capable of transducing a signal resulting in promoter activation in T cells.,ASSERTIVE,N/A (no hedge cues),IL-1R,19
S025,CoNLL-2010,8871623,PMID,"To overcome this problem, we have exploited the observation that activated human T cell blasts can be stimulated via the CD28 surface molecule in the absence of antigenic challenge; thus, we have been able to observe the response of normal T cells to CD28 activation in isolation.",ASSERTIVE,N/A (no hedge cues),CD28,47
S026,CoNLL-2010,10339475,PMID,Inhibition with monoclonal antibodies and peptide antagonists inferred that this was due to reduced expression of Ig integrin ligand as well as of chemokines specifically involved in these events.,ASSERTIVE,N/A (no hedge cues),antibodies,29
S027,CoNLL-2010,10225377,PMID,We found that they reduced the initial interleukin-1beta mRNA transcription rate through prevention of degradation of inhibitor-kappaB alpha.,ASSERTIVE,N/A (no hedge cues),transcription,18
S028,CoNLL-2010,96264681,PMID,"IL-2-, IL-12-, and IFN-alpha-mediated signaling pathways were analyzed in primary NK cells and in the NK3.3 cell line.",ASSERTIVE,N/A (no hedge cues),IL-2,18
S029,CoNLL-2010,9733846,PMID,We have pursued our investigation of the role of the CD4 transduction pathway in HIV-induced apoptosis.,ASSERTIVE,N/A (no hedge cues),CD4,16
S030,CoNLL-2010,8797708,PMID,Tax does not bind directly to DNA but rather deregulates the activity of cellular transcription factors.,ASSERTIVE,N/A (no hedge cues),DNA ,16
S031,CoNLL-2010,10202024,PMID,Our results showed that HCMV binding to monocytes resulted in the production and release of IL-1beta protein.,ASSERTIVE,N/A (no hedge cues),HCMV ,17
S032,CoNLL-2010,8645086,PMID,"OM10.1, a promyelocyte cell line latently infected with HIV-1, has been developed as a model for studying the mechanism of viral latency and the activation of virus expression.",ASSERTIVE,N/A (no hedge cues),HIV-1,28
S033,CoNLL-2010,8067997,PMID,Stimulation of T-cells by agonistic anti-CD28 antibodies in conjunction with phorbol 12-myristate 13-acetate (PMA)- or TcR-derived signals induces the enhanced activation of the transcription factor NF-kappa B.,ASSERTIVE,N/A (no hedge cues),CD28,27
S034,CoNLL-2010,9277478,PMID,"Cytokine-stimulated cell surface expression of vascular cell adhesion molecule-1 (VCAM-1, CD106) and E-selectin (ELAM-1, CD62E), but not of intercellular adhesion molecule-1 (ICAM-1, CD54), was time- and dose-dependently inhibited by TCP succinate but not by TCP or TCP acetate.",ASSERTIVE,N/A (no hedge cues),VCAM-1,38
S035,CoNLL-2010,10383397,PMID,"Taken together, DZA promotes the proteolytic degradation of IkappaBalpha, but not IkappaBbeta, resulting in an increase of DNA binding activity of NF-kappaB in the nucleus in the absence of its transcriptional activity in RAW 264.7 cells.",ASSERTIVE,N/A (no hedge cues),DZA ,36
S036,CoNLL-2010,8662928,PMID,The cytoplasmic domain of the receptor for interleukin 10 (IL-10R) contains two box 3 sequence motifs that have been identified in the signal-transducing receptor subunits for IL-6-type cytokines and noted to be required for activating STAT3 and inducing transcription through IL-6-responsive elements.,ASSERTIVE,N/A (no hedge cues),IL-10R,42
S037,CoNLL-2010,93281652,PMID,"We have previously reported that the T lymphocytes of a child with severe combined immunodeficiency are defective in the transcription of several lymphokine genes that include IL2, IL3, IL4, and IL5, which encode interleukins 2, 3, 4, and 5 (IL-2, -3, -4, and -5).",ASSERTIVE,N/A (no hedge cues),IL-2,44
S038,CoNLL-2010,8641346,PMID,Interferon-gamma modulates the lipopolysaccharide-induced expression of AP-1 and NF-kappa B at the mRNA and protein level in human monocytes.,ASSERTIVE,N/A (no hedge cues),AP-1,19
S039,CoNLL-2010,7853483,PMID,Regulation of I kappa B alpha and p105 in monocytes and macrophages persistently infected with human immunodeficiency virus.,ASSERTIVE,N/A (no hedge cues),monocytes,18
S040,CoNLL-2010,7915123,PMID,"Another limitation is that antioxidant concentrations high enough to block NK-kappa B activation were shown to have a suppressive effect on immune functions in vitro, because NAC and BHA blocked IL-2-induced PBMC proliferation.",ASSERTIVE,N/A (no hedge cues),IL-2,33
S041,PubMed_OA,38598439,PMID,"The implementation of the proposed circuit is demonstrated using IBM's quantum computers for the case of one qubit, and the fidelity of this implementation is reported.",UNCERTAIN,proposed,IBM,26
S042,PubMed_OA,35924105,PMID,"General nuclear medicine, SPECT, PET, MRI, and CT may benefit from more advanced DL applications for classification, detection, localization, segmentation, quantification, and radiomic feature extraction utilizing 3D CNNs.",UNCERTAIN,may,SPECT,28
S043,PubMed_OA,28412324,PMID,"Nanotechnology-based carriers might be the best tools for sequential combination therapy, as they can be loaded with multiple cargos and may provide targeted and sustained delivery to target tumor cells.",UNCERTAIN,"may, might",Nanotechnology-based,30
S044,PubMed_OA,37027874,PMID,"To demonstrate the physical potential of PPAs, we consider detection of ultralight axionlike dark matter (ALDM), through cosmic birefringence induced by its Chern-Simons coupling.",UNCERTAIN,potential,ALDM,24
S045,PubMed_OA,35808353,PMID,"Based on this need, this paper proposes the Semi-ProtoPNet deep learning model to classify defective structures in the power distribution networks.",UNCERTAIN,proposes,Semi-ProtoPNet,21
S046,PubMed_OA,28299691,PMID,"Meanwhile, since diamond has good biocompatibility, long-term durability, good chemical inertness, and a large electron-chemical potential window, it is a suitable candidate for the fabrication of biosensors.",UNCERTAIN,potential,electron-chemical,27
S047,PubMed_OA,26289577,PMID,"To obtain reliable results, the authors suggest fixing several keystone parameters according to the underlying chemistry of each studied system.",UNCERTAIN,suggest,parameters,20
S048,PubMed_OA,31165259,PMID,"Throughout the training procedure, the higher learning rates are fairly used by the activation function which has been proposed by avoiding the risk of divergence.",UNCERTAIN,proposed,Throughout,25
S049,PubMed_OA,28886766,PMID,"The article also introduces the latest cutting edge research topics on new materials for composite restorations, and an outlook for the future of how those may help to improve the service life of dental composite restorations.",UNCERTAIN,may,restorations,36
S050,PubMed_OA,37027874,PMID,"With the same data acquired for PTAs, we propose to develop pulsar polarization arrays (PPAs), to explore astrophysics and fundamental physics.",UNCERTAIN,propose,polarization,21
S051,PubMed_OA,34691840,PMID,"In this paper, we will give a general introduction to the Ali CMB Polarization Telescope (AliCPT) project, which is a Sino-US joint project led by the Institute of High Energy Physics and involves many different institutes in China.",ASSERTIVE,N/A,CMB,38
S052,PubMed_OA,39037874,PMID,Empirical mode decomposition (EMD) has shown promising results in extracting EEG components associated with motor imagery tasks more effectively than traditional linear decomposition algorithms such as Fourier and wavelet methods.,ASSERTIVE,N/A,EMD,30
S053,PubMed_OA,28299691,PMID,"The fabrication is based on the combination of laser lithography, dry-etching, atomic layer deposition (ALD), sputtering deposition (SD), electrode evaporation, and lift-off techniques.",ASSERTIVE,N/A,ALD,23
S054,PubMed_OA,36617001,PMID,"Optical scanners are used frequently in medical imaging units to examine and diagnose cancers, assist with surgeries, and detect lesions and malignancies.",ASSERTIVE,N/A,malignancies,22
