stimulus_id,source,sentence_id,doc_id,doc_id_type,text,epistemic_tag,epistemic_evidence,stem_term,token_count,negation_cues
S001,CoNLL-2010,S475.5,97113352,PMID,"Therefore, we compared the nucleotide sequences of the CD11a, CD11b, and CD11c gene promoters to identify common elements that might contribute to inducible expression.",UNCERTAIN,might,CD11a,24,none
S002,CoNLL-2010,S501.3,10022882,PMID,"However, the sources for ROIs in various cell types are yet to be determined and might include 5-lipoxygenase (5-LOX) and NADPH oxidase.",UNCERTAIN,might,ROIs,22,none
S003,CoNLL-2010,S962.4,9013974,PMID,"The effect of GH appears to occur in an autocrine fashion, since the inhibitory effect on TNF-alpha secretion by constitutive GH production could be abolished in the presence of anti-hGH mAb.",UNCERTAIN,"appears, could",GH ,31,none
S004,CoNLL-2010,S1171.11,9680181,PMID,Data are also presented to suggest that the redox regulation in NF-kappaB activation may be relevant to immune-related diseases and to aging.,UNCERTAIN,"suggest, may",NF-,22,none
S005,CoNLL-2010,S863.9,8164652,PMID,"Again, in vitro supershift studies indicate that the presence of p50, p52, p65, and cRel correlates with positive function whereas the presence of only p50 and p52 correlates with negative function.",UNCERTAIN,indicate that,supershift,31,none
S006,CoNLL-2010,S1143.10,9428796,PMID,We hypothesize that interference in DNA-binding activities of GATA-1 and CACCC-binding proteins is the mechanism by which the ER inhibits regulation of these genes.,UNCERTAIN,hypothesize,GATA-1,24,none
S007,CoNLL-2010,S731.15,7579328,PMID,The cell type-specific regulation of the CD34 promoter by MZF-1 suggests the presence of tissue-specific regulators/adapters or differential MZF-1 modifications that determine MZF-1 transcriptional regulatory function.,UNCERTAIN,"suggests, or",MZF-1,26,none
S008,CoNLL-2010,S14.8,91173312,PMID,Therefore the rel-related 65-kD protein may represent the p65 subunit of the active NF-kappa B transcription factor complex.,UNCERTAIN,may,NF-,18,none
S009,CoNLL-2010,S234.6,93211996,PMID,We propose a model in which NF-kappa B and I kappa B-alpha mutually regulate each other in a cycle:,UNCERTAIN,propose,NF-,19,none
S010,CoNLL-2010,S1218.8,9808178,PMID,"Qualitatively different effects were observed for the IL-1-induced activation of stress-activated protein (SAP) kinases: permanent overexpression of IRAK did not affect the dose dependence but prolonged the kinetics of IL-1-induced activation of SAP kinases, suggesting that this signaling branch may be regulated by distinct mechanisms.",UNCERTAIN,"suggesting, may",IL-1,45,not
S011,CoNLL-2010,S1041.7,9190901,PMID,"Thus we proposed that ETS1, which is expressed constitutively in Jurkat cells, may act in concert with PMA/ionomycin inducible factors.",UNCERTAIN,"proposed, may",ETS1,20,none
S012,CoNLL-2010,S262.2,93275333,PMID,Interaction between protein kinase C ( PKC ) - and glucocorticoid receptor ( GR ) -mediated signaling is suggested by the ability of the PKC activating phorbol ester 12-O-tetradecanoylphorbol-13-acetate (TPA) to inhibit GR-dependent transcription of the mouse mammary tumor virus (MMTV) long terminal repeat (LTR).,UNCERTAIN,suggested,PKC,45,none
S013,CoNLL-2010,S875.8,8524232,PMID,"The evolutionarily conserved N-terminal half of IBR/F harbors the DNA-binding/dimerization domain (outer limits, 127 to 283), one or several casein kinase II sites (37 to 67), and a bipartite nuclear localization signal (89 to 106) which appears to be necessary for nuclear targeting.",UNCERTAIN,appears,IBR,43,none
S014,CoNLL-2010,S873.6,8207793,PMID,Analysis of mRNA suggested that Tat exerts its effect on IL-2 primarily at the transcriptional level.,UNCERTAIN,suggested,IL-2,16,none
S015,CoNLL-2010,S549.2,10202034,PMID,"In the present study we investigated the possible involvement of the mitogen-activated protein kinase family members extracellular-regulated kinase 1/2 (ERK1/2) and c-Jun N-terminal kinase (JNK) in mediating IL-6 gene expression in human monocytes, in particular their role in enhancing NF-kappa B activity.",UNCERTAIN,possible,IL-6,42,none
S016,CoNLL-2010,S957.12,8978306,PMID,"In addition to its well-recognized adhesive role, CD15 may function as an important signaling molecule capable of initiating proinflammatory events in monocytes that come into contact with activated endothelium.",UNCERTAIN,may,CD15,29,none
S017,CoNLL-2010,S994.10,9101089,PMID,The parallel induction of I kappa B alpha synthesis may allow for the continuous presence of a cytoplasmic reservoir of p50/RelA(p65) complexes that are readily available for inducer-mediated stimulation.,UNCERTAIN,may,RelA,29,none
S018,CoNLL-2010,S1081.12,9271352,PMID,Our results indicate that CCK-8 exerts a trophic effect in Jurkat T cells through stimulation of CCK(B) receptors by modulation of expression of AP-1-regulated genes.,UNCERTAIN,indicate that,CCK-8,25,none
S019,CoNLL-2010,S1063.9,9233623,PMID,"As the expression level of the RP1 gene in activated T cells and a spectrum of tumor-derived cell lines correlates with the proliferative status of the cells, members of the EB1-like gene family may not only be involved in the tumorigenesis of colorectal cancers but may also play a role in the proliferative control of normal cells.",UNCERTAIN,"may, may",RP1,57,none
