stimulus_id,source,ground_truth_tag,epistemic_evidence,stem_term,model,model_id,condition,parse_error,timestamp,reformulation,certainty_level,epistemic_signal,ASL_gloss,jargon_strategy,expansion_reasoning,output,whose_perspective,accountability_note,epistemic_preservation
S001,CoNLL-2010,UNCERTAIN,might,CD11a,claude-3.5-sonnet,anthropic/claude-3.5-haiku,1A,,2026-05-09T23:50:43.245845,We analyzed the DNA sequences upstream of three related genes to look for shared regulatory regions that could help explain how these genes are activated.,high,,,,,,,,
S001,CoNLL-2010,UNCERTAIN,might,CD11a,gemini-1.5-pro,google/gemini-2.0-flash-001,1A,,2026-05-09T23:50:43.693097,"To understand how the expression of the CD11a, CD11b, and CD11c genes is regulated, we analyzed the DNA sequences of their promoter regions. Our goal was to find shared DNA motifs that could be responsible for their inducible expression.",high,,,,,,,,
S001,CoNLL-2010,UNCERTAIN,might,CD11a,gpt-4o,openai/gpt-4o-mini,1A,,2026-05-09T23:50:42.230494,"As a result, we analyzed the nucleotide sequences of the promoters for the CD11a, CD11b, and CD11c genes to find shared elements that could play a role in their inducible expression.",high,,,,,,,,
S001,CoNLL-2010,UNCERTAIN,might,CD11a,claude-3.5-sonnet,anthropic/claude-3.5-haiku,1B,,2026-05-09T23:50:44.803526,"Our research team examined the genetic sequences located before the CD11a, CD11b, and CD11c genes, searching for shared structural patterns that potentially explain how these genes become activated.",medium,Used 'potentially' to mirror the original 'might' and preserve the original speaker's tentative stance about the relationship between the genetic sequences and gene expression,,,,,,,
S001,CoNLL-2010,UNCERTAIN,might,CD11a,gemini-1.5-pro,google/gemini-2.0-flash-001,1B,,2026-05-09T23:50:43.144110,"SO, WE COMPARE NUCLEOTIDE SEQUENCE CD11a, CD11b, CD11c GENE PROMOTERS. GOAL FIND SAME PARTS. MAYBE SAME PARTS HELP START EXPRESSION.",medium,"Used 'MAYBE' to reflect the 'might' in the original sentence, indicating a degree of uncertainty about the common elements' contribution.",,,,,,,
S001,CoNLL-2010,UNCERTAIN,might,CD11a,gpt-4o,openai/gpt-4o-mini,1B,,2026-05-09T23:50:42.339351,"We looked at the nucleotide sequences of the CD11a, CD11b, and CD11c gene promoters to find common elements that could help with inducible expression.",high,The phrase 'could help' indicates a high level of certainty about the potential contribution of common elements.,,,,,,,
S001,CoNLL-2010,UNCERTAIN,might,CD11a,claude-3.5-sonnet,anthropic/claude-3.5-haiku,1C,,2026-05-09T23:50:44.881431,"In our research, we examined the DNA sequences located before three specific genes - CD11a, CD11b, and CD11c - searching for shared genetic control regions that could potentially explain how these genes become activated during different biological processes.",high,,,,,,,,
S001,CoNLL-2010,UNCERTAIN,might,CD11a,gemini-1.5-pro,google/gemini-2.0-flash-001,1C,,2026-05-09T23:50:45.525116,"We looked at the DNA code (nucleotide sequences) of the CD11a, CD11b, and CD11c gene promoters. We wanted to find shared parts (common elements) in these DNA sequences. These shared parts might be what causes the genes to turn on (inducible expression).",high,,,,,,,,
S001,CoNLL-2010,UNCERTAIN,might,CD11a,gpt-4o,openai/gpt-4o-mini,1C,,2026-05-09T23:50:43.599068,"We looked at the DNA sequences of the CD11a, CD11b, and CD11c gene promoters to find shared parts that could help explain why these genes can be turned on when needed.",high,,,,,,,,
S001,CoNLL-2010,UNCERTAIN,might,CD11a,claude-3.5-sonnet,anthropic/claude-3.5-haiku,2A,,2026-05-09T23:50:45.951655,,,,THEREFORE IX-me COMPARE GENE-PROMOTER CD11a CD11b CD11c SEQUENCE LOOK-FOR COMMON ELEMENT POSSIBLE EXPLAIN WHY GENE TURN-ON,fingerspell,,,,,
S001,CoNLL-2010,UNCERTAIN,might,CD11a,gemini-1.5-pro,google/gemini-2.0-flash-001,2A,,2026-05-09T23:50:45.922683,,,,"SO, WE COMPARE NUCLEOTIDE SEQUENCE CD11a, CD11b, CD11c GENE PROMOTER, FIND SIMILAR ELEMENT MAYBE CAUSE INDUCE EXPRESSION.",fingerspell,,,,,
S001,CoNLL-2010,UNCERTAIN,might,CD11a,gpt-4o,openai/gpt-4o-mini,2A,,2026-05-09T23:50:44.854630,,,,"THEREFORE, WE COMPARE NUCLEOTIDE SEQUENCES CD11a CD11b CD11c GENE PROMOTERS IDENTIFY COMMON ELEMENTS MIGHT CONTRIBUTE INDUCIBLE EXPRESSION",fingerspell,,,,,
S001,CoNLL-2010,UNCERTAIN,might,CD11a,claude-3.5-sonnet,anthropic/claude-3.5-haiku,2B,,2026-05-09T23:50:48.218310,,,,COMPARE GENE PROMOTER SEQUENCE CD11a CD11b CD11c LOOK-FOR COMMON ELEMENT THAT MIGHT SUPPORT EXPRESSION ACTIVATE,expand,Technical immunology term with complex molecular context; spelling letter-by-letter would increase cognitive load for DHH STEM students. Conceptual translation preserves meaning while reducing processing burden.,,,,
S001,CoNLL-2010,UNCERTAIN,might,CD11a,gemini-1.5-pro,google/gemini-2.0-flash-001,2B,,2026-05-09T23:50:47.476207,,,,CD11a (D CLASSIFIER: flat hand moves down chest) COMPONENT A,expand,"Given the audience of Deaf and Hard-of-Hearing graduate students and the research indicating that excessive fingerspelling increases cognitive load, expanding the term 'CD11a' is the most socially responsible approach. The gloss provides a visual representation of 'CD' (using a classifier to indicate chest) and then clarifies it as 'COMPONENT A'. This provides a conceptual understanding rather than relying on rote memorization of the letters, reducing cognitive load and promoting comprehension. While the full meaning of CD11a (likely a cluster of differentiation marker) might be too detailed for this specific sentence, indicating it's a component on the chest provides a starting point for understanding its role in the context of the research.",,,,
S001,CoNLL-2010,UNCERTAIN,might,CD11a,gpt-4o,openai/gpt-4o-mini,2B,,2026-05-09T23:50:46.545221,,,,CD11a is a gene related to immune response.,expand,"Expanding the term conceptually helps DHH students understand the significance of CD11a in the context of immune response, reducing cognitive load and enhancing comprehension.",,,,
S001,CoNLL-2010,UNCERTAIN,might,CD11a,claude-3.5-sonnet,anthropic/claude-3.5-haiku,3A,,2026-05-09T23:50:49.533030,,,,,,,"Let me break this down for you. In this research, the scientists were looking at the genetic promoter regions for three specific genes: CD11a, CD11b, and CD11c. A promoter is like a genetic switch that helps control when and how much a gene gets activated or expressed. By comparing the DNA sequences of these promoter regions, they were trying to find similar patterns or 'common elements' that might explain how these genes get turned on or become more active in certain conditions.",researcher explaining scientific methodology,,
S001,CoNLL-2010,UNCERTAIN,might,CD11a,gemini-1.5-pro,google/gemini-2.0-flash-001,3A,,2026-05-09T23:50:47.770683,,,,,,,"Okay, so basically, we're looking at the DNA that controls how much of the CD11a, CD11b, and CD11c genes are made. This DNA is called the 'promoter'. We want to figure out what parts of these promoters are the same across all three genes. If they share common parts, those parts might be responsible for turning these genes on (inducible expression) when the body needs them.",teacher,,
S001,CoNLL-2010,UNCERTAIN,might,CD11a,gpt-4o,openai/gpt-4o-mini,3A,,2026-05-09T23:50:47.289075,,,,,,,"We looked at the DNA sequences that control the CD11a, CD11b, and CD11c genes to find similarities that could help explain how these genes can be turned on when needed.",This explanation is from the perspective of a researcher or scientist studying gene expression.,,
